time,LT
1.605,317
1.606,316
1.607,320
1.608,324
1.609,324
1.61,323
1.611,320
1.612,320
1.613,321
1.614,322
1.615,324
1.616,325
1.617,326
1.618,327
1.619,331
1.62,331
1.621,321
1.622,315
1.623,317
1.624,317
1.625,315
1.626,315
1.627,316
1.628,321
1.629,323
1.63,320
1.631,317
1.632,318
1.633,320
1.634,318
1.635,317
1.636,317
1.637,321
1.638,323
1.639,326
1.64,333
1.641,334
1.642,334
1.643,331
1.644,333
1.645,333
1.646,331
1.647,334
1.648,333
1.649,324
1.65,317
1.651,313
1.652,313
1.653,311
1.654,310
1.655,311
1.656,314
1.657,313
1.658,312
1.659,311
1.66,316
1.661,322
1.662,327
1.663,328
1.664,327
1.665,329
1.666,330
1.667,329
1.668,330
1.669,328
1.67,328
1.671,328
1.672,324
1.673,316
1.674,310
1.675,311
1.676,310
1.677,310
1.678,314
1.679,318
1.68,322
1.681,324
1.682,328
1.683,328
1.684,330
1.685,334
1.686,333
1.687,332
1.688,331
1.689,324
1.69,316
1.691,316
1.692,323
1.693,322
1.694,315
1.695,308
1.696,307
1.697,312
1.698,312
1.699,311
1.7,312
1.701,314
1.702,318
1.703,320
1.704,320
1.705,323
1.706,323
1.707,326
1.708,325
1.709,326
1.71,326
1.711,325
1.712,323
1.713,319
1.714,318
1.715,320
1.716,323
1.717,324
1.718,328
1.719,331
1.72,330
1.721,327
1.722,323
1.723,322
1.724,323
1.725,327
1.726,329
1.727,326
1.728,326
1.729,323
1.73,323
1.731,324
1.732,320
1.733,315
1.734,317
1.735,316
1.736,315
1.737,315
1.738,317
1.739,318
1.74,317
1.741,321
1.742,323
1.743,328
1.744,332
1.745,328
1.746,328
1.747,325
1.748,322
1.749,321
1.75,320
1.751,320
1.752,320
1.753,320
1.754,320
1.755,320
1.756,320
1.757,322
1.758,320
1.759,320
1.76,324
1.761,329
1.762,327
1.763,325
1.764,324
1.765,322
1.766,321
1.767,319
1.768,321
1.769,323
1.77,321
1.771,318
1.772,315
1.773,318
1.774,323
1.775,324
1.776,322
1.777,324
1.778,322
1.779,323
1.78,326
1.781,324
1.782,319
1.783,319
1.784,321
1.785,321
1.786,320
1.787,321
1.788,319
1.789,323
1.79,325
1.791,324
1.792,323
1.793,323
1.794,327
1.795,336
1.796,338
1.797,334
1.798,329
1.799,325
1.8,320
1.801,319
1.802,320
1.803,321
1.804,321
1.805,320
1.806,320
1.807,325
1.808,329
1.809,326
1.81,322
1.811,316
1.812,313
1.813,311
1.814,310
1.815,313
1.816,316
1.817,317
1.818,316
1.819,318
1.82,319
1.821,320
1.822,321
1.823,323
1.824,324
1.825,324
1.826,325
1.827,321
1.828,319
1.829,320
1.83,322
1.831,327
1.832,330
1.833,332
1.834,333
1.835,338
1.836,340
1.837,337
1.838,332
1.839,326
1.84,321
1.841,316
1.842,310
1.843,306
1.844,310
1.845,313
1.846,318
1.847,321
1.848,318
1.849,318
1.85,316
1.851,317
1.852,320
1.853,321
1.854,319
1.855,318
1.856,319
1.857,323
1.858,327
1.859,328
1.86,325
1.861,324
1.862,325
1.863,322
1.864,319
1.865,317
1.866,320
1.867,324
1.868,331
1.869,334
1.87,330
1.871,325
1.872,318
1.873,318
1.874,317
1.875,319
1.876,324
1.877,328
1.878,327
1.879,322
1.88,321
1.881,319
1.882,319
1.883,320
1.884,321
1.885,321
1.886,318
1.887,318
1.888,318
1.889,318
1.89,314
1.891,311
1.892,314
1.893,315
1.894,312
1.895,311
1.896,313
1.897,313
1.898,319
1.899,322
1.9,319
1.901,318
1.902,317
1.903,316
1.904,315
1.905,315
1.906,317
1.907,319
1.908,321
1.909,321
1.91,321
1.911,321
1.912,322
1.913,320
1.914,318
1.915,321
1.916,322
1.917,323
1.918,322
1.919,321
1.92,321
1.921,323
1.922,323
1.923,328
1.924,329
1.925,329
1.926,329
1.927,328
1.928,325
1.929,326
1.93,324
1.931,323
1.932,320
1.933,319
1.934,321
1.935,322
1.936,326
1.937,325
1.938,321
1.939,321
1.94,323
1.941,319
1.942,314
1.943,317
1.944,318
1.945,319
1.946,317
1.947,317
1.948,316
1.949,318
1.95,319
1.951,316
1.952,315
1.953,317
